Timestamp,Latitude,Longitude,Location,Vehicle_Count,NO2_Emissions,Weather_Conditions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment
2022-04-05 16:00:00,31.42342828839177,73.10167414312383,Kohinoor City,412,54.42980234202197,Cloudy,5.592903161707667,Yes,Divert via Satyana Road
2022-12-05 22:00:00,31.41678367204813,73.08964166179626,Kohinoor City,356,32.44443692257282,Rainy,9.048200501149926,No,Take side streets via Millat Road
2022-07-01 07:00:00,31.425032147439296,73.1045317400771,D Ground,224,50.62883787244576,Clear,33.69271786458824,No,No change needed
2022-02-23 02:00:00,31.417273430730823,73.08978979211088,Madina Town,66,22.079333573635605,Cloudy,61.67355008637133,No,Take small connecting roads
2022-03-25 15:00:00,31.41762639134576,73.1152549586622,Ghulam Muhammad Abad,351,26.92136536823492,Clear,10.450699962697788,Yes,"Avoid peak hours, use Jaranwala Road"
2022-09-27 11:00:00,31.424576826504243,73.10467290783713,D Ground,286,52.04897729649716,Cloudy,18.919363577860533,Yes,Take small connecting roads
2022-07-27 03:00:00,31.441118309871072,73.12900045609355,Madina Town,49,89.63851288856978,Clear,69.67186315253329,Yes,No change needed
2022-02-18 13:00:00,31.43976867762906,73.06077931325848,Ghulam Muhammad Abad,158,74.38129992497711,Cloudy,42.71158606479275,No,No change needed
2022-04-25 00:00:00,31.43186848232321,73.12038422525303,Susan Road,49,23.97360873052277,Cloudy,55.982013550227386,No,No change needed
2022-06-21 06:00:00,31.41845743502895,73.0800834420174,Clock Tower,412,55.42542989724984,Cloudy,7.0320865019230885,Yes,Use Circular Road alternative
2022-06-17 16:00:00,31.42333497363238,73.10190147496326,Kohinoor City,321,49.93609944022735,Rainy,13.47038819954273,Yes,Divert via Satyana Road
2022-08-21 23:00:00,31.424277481363863,73.10172404910668,Kohinoor City,289,70.90105226181353,Rainy,19.713394718452157,Yes,Divert via Satyana Road
2022-06-01 23:00:00,31.418462413106187,73.11570688615286,People's Colony,100,25.90542906313322,Hazy,46.749957285759,No,No change needed
2022-09-06 01:00:00,31.43307376030832,73.11997682498216,Susan Road,134,70.79659981005801,Clear,36.86498955145474,No,No change needed
2022-10-03 15:00:00,31.44090998682117,73.13026148578695,Madina Town,177,46.39005368578727,Rainy,32.64934891921002,No,No change needed
2022-01-06 23:00:00,31.419173121835808,73.07896424299535,Clock Tower,165,65.58211089134706,Cloudy,39.99880833157951,No,No change needed
2022-01-09 02:00:00,31.41835595893671,73.07833036484224,Clock Tower,177,27.72491873323472,Rainy,31.39084682420558,No,No change needed
2022-10-11 10:00:00,31.43240069892233,73.11974157079175,Susan Road,275,19.08430213754912,Clear,27.36593194071157,Yes,Take small connecting roads
2022-09-24 13:00:00,31.44000504234349,73.12952064813543,Madina Town,150,24.240338146235587,Hazy,38.069290238134975,No,No change needed
2022-09-14 10:00:00,31.42489475598473,73.10591048361263,D Ground,66,16.712663932819375,Hazy,65.85276373685652,No,No change needed
2022-09-18 14:00:00,31.432842052495467,73.12160663895901,Susan Road,463,44.132883793599206,Rainy,7.696560974945503,Yes,Use Madina Town Bypass
2022-05-09 16:00:00,31.432567291642407,73.12060249457366,Susan Road,342,12.129327818739272,Cloudy,11.4877722118852,Yes,Use Madina Town Bypass
2022-08-08 23:00:00,31.419355740409483,73.07907447139812,Clock Tower,109,17.879476477756267,Rainy,59.077234864802826,No,No change needed
2022-10-03 03:00:00,31.439929292103887,73.12983183981407,Madina Town,245,7.399716997465179,Rainy,18.116624430222085,Yes,Use Jaranwala Bypass
2022-01-09 14:00:00,31.417050119175347,73.08903275732585,Canal Road,76,26.16840304699968,Hazy,60.46587392673967,No,No change needed
2022-01-16 14:00:00,31.418075848599067,73.0796875895288,Clock Tower,69,28.10560244377524,Clear,67.33595906577216,No,Use Expressway
2022-10-03 01:00:00,31.41874708823459,73.07993678819695,Clock Tower,49,39.02164356464684,Clear,61.47299209076587,No,No change needed
2022-07-18 20:00:00,31.41837016671128,73.11555329045709,People's Colony,136,30.88768414948652,Rainy,47.26234221815572,No,No change needed
2022-04-13 23:00:00,31.424892748716587,73.10495858081079,D Ground,176,52.49285615106765,Cloudy,31.245923957532856,Yes,No change needed
2022-10-27 23:00:00,31.418275563302043,73.11577506684965,People's Colony,83,35.783536218738305,Rainy,55.03860893224571,No,No change needed
2022-03-25 22:00:00,31.424520133832583,73.10478988046258,D Ground,77,36.35892821034573,Cloudy,60.43077944713957,No,No change needed
2022-11-25 07:00:00,31.439168155010904,73.06059295412771,Ghulam Muhammad Abad,301,44.3932936846556,Cloudy,33.566609177874064,No,Use Expressway
2022-09-14 20:00:00,31.418978514811243,73.07834401922732,Clock Tower,349,56.71398220266912,Hazy,12.255092576671476,No,Use Circular Road alternative
